score	repo_id	repo	resource_id	title	creator	date	is_personal	type_genre	return_to_german	born_german	home	german_places	glang	emigre	type	language	url
9	3	American Jewish Historical Society	2776	Mendel Rosenbaum of Zell Collection	Rosenbaum, Mendel, 1783-1868	1868-1973	1	0	0	0	0	2	0	0		eng | Latn | ger | Latn	https://archives.cjh.org/repositories/3/resources/2776
9	3	American Jewish Historical Society	2799	Edward Albert Filene papers	Marlowe, Julia, 1865-1950	1918-1937	1	0	0	0	0	2	0	0		eng | Latn	https://archives.cjh.org/repositories/3/resources/2799
9	3	American Jewish Historical Society	2851	Benjamin Roth Collection	Roth, Benjamin	undated, 1854, 1952-1969	0	1	0	0	0	2	0	0	Ethical letters	eng | Latn | ger | Latn | heb | Hebr	https://archives.cjh.org/repositories/3/resources/2851
9	3	American Jewish Historical Society	6101	Emma Lazarus Papers	Lazarus, Emma, 1849-1887	undated, 1876-1987 | undated, 1876-1987	1	0	0	0	0	2	0	0	Poetry | Articles | Correspondence | Notebooks | Obituaries | Poems | Scrapbooks	eng | Latn | heb | Hebr | The collection is in English and Hebrew.	https://archives.cjh.org/repositories/3/resources/6101
9	3	American Jewish Historical Society	879	Richard Beer-Hoffmann letters	Beer-Hofmann, Richard, 1866-1945 | Heimann, Moritz, 1868-1925	1911, 1916	1	0	0	0	0	2	0	0		eng | Latn	https://archives.cjh.org/repositories/3/resources/879
9	4	American Sephardi Federation	3671	Guide to the Tamar Morad, Dennis and Robert Shasha Collection of Iraqi Jewish Oral Histories	Shasha, Robert	circa 1900, 1930s-2007 | 2003-2007	0	1	0	0	0	1	0	4	Interviews | Memoirs | Photographs | Poems | Sound recordings | Transcripts	eng | eng | heb | fre | spa | ara | The collection is in English and Hebrew, with a few items in French and Spanish and reproductions of two documents in Arabic.	https://archives.cjh.org/repositories/4/resources/3671
9	7	YIVO Institute for Jewish Research	20489	Nellie Casman Papers	Casman, Nellie, 1896-1984	undated	1	0	0	0	0	2	0	0		yid | eng | spa	https://archives.cjh.org/repositories/7/resources/20489
9	7	YIVO Institute for Jewish Research	21105	David Shub Collection	Shub, David, 1887-1973	1909 -- 1980	1	0	0	0	0	1	0	2		yid | Hebr | rus | Cyrl | eng | Latn | ger | Latn	https://archives.cjh.org/repositories/7/resources/21105
9	7	YIVO Institute for Jewish Research	21168	Simon Chudhi Papers	Chudhi, Simon	1915 -- 1949	0	1	0	0	0	1	0	8	Photographic prints | Diaries	yid	https://archives.cjh.org/repositories/7/resources/21168
9	7	YIVO Institute for Jewish Research	21222	Papers of Abraham Coralnik	Coralnik, Abraham, 1883-1937	1920s-1930	1	0	0	0	0	1	1	0		eng	https://archives.cjh.org/repositories/7/resources/21222
9	7	YIVO Institute for Jewish Research	21348	Isidor Ginsburg Papers	Ginzburg, I. (Iser), 1872-1947	1894 -- 1947	1	0	0	0	0	1	1	0		yid	https://archives.cjh.org/repositories/7/resources/21348
9	7	YIVO Institute for Jewish Research	21357	Jacob Pilowsky Papers	Piloṿsḳi, Yaʻaḳov, 1898-1969	1935 -- 1963	1	0	0	0	0	1	1	0		yid	https://archives.cjh.org/repositories/7/resources/21357
9	7	YIVO Institute for Jewish Research	21370	Papers of Benjamin Jacob Bialostotzky	Bialostotzky, B. J. (Benjamin Jacob), 1892-1962	1929 -- 1963	1	0	0	0	0	1	1	0		eng	https://archives.cjh.org/repositories/7/resources/21370
9	7	YIVO Institute for Jewish Research	21375	Papers of Henry Shoshkes	Shoskes, Henry, 1891-1964	1930s-1962	1	0	0	0	0	1	0	2	Jewish women -- Personal narratives	eng | yid	https://archives.cjh.org/repositories/7/resources/21375
9	7	YIVO Institute for Jewish Research	21399	Papers of Chaim Bloch	Bloch, Chajim, 1881-1973	1920s-1960s	1	0	0	0	0	2	0	0		eng | yid | heb	https://archives.cjh.org/repositories/7/resources/21399
9	7	YIVO Institute for Jewish Research	21406	Mark Mrachny Papers	Mrachny, Mark, 1892-1975	1930s-1950s	1	0	0	0	0	1	1	0	Yiddish language -- Societies, etc.	yid	https://archives.cjh.org/repositories/7/resources/21406
9	7	YIVO Institute for Jewish Research	21449	Shlomo Bickel Papers	Bickel, Shlomo, 1896-1969	1920s-1969	1	0	0	0	0	1	1	0	Jews -- Biography | Jews -- Dictionaries | Jews -- Encyclopedias | Yiddish language -- Societies, etc.	yid	https://archives.cjh.org/repositories/7/resources/21449
9	7	YIVO Institute for Jewish Research	21502	Papers of Lucjan Dobroszycki	Dobroszycki, Lucjan (1925-01)	1939 -- 1947	0	1	0	0	0	1	0	3	Diaries	eng	https://archives.cjh.org/repositories/7/resources/21502
9	7	YIVO Institute for Jewish Research	21526	Papers of David Lehrer	Lehrer, David, 1898-1973	1940 -- 1970	1	0	0	0	0	1	0	2		eng | yid	https://archives.cjh.org/repositories/7/resources/21526
9	7	YIVO Institute for Jewish Research	21554	Isaiah Kuperstein Papers	Kuperstein, Isaiah, 1950-	1940 -- 1947	1	0	0	0	0	1	0	4	Interviews | Photographic prints	eng | yid	https://archives.cjh.org/repositories/7/resources/21554
9	7	YIVO Institute for Jewish Research	21596	William G. Niederland Papers	Niederland, William G., 1904-1993	undated	1	0	0	0	0	1	0	5		eng	https://archives.cjh.org/repositories/7/resources/21596
9	7	YIVO Institute for Jewish Research	21959	Yizhak Levin-Shatskes Papers	Levin-Shatskes, Yizhak, 1892-1963	1920s-1960s	1	0	0	0	0	1	1	0	Passports	eng	https://archives.cjh.org/repositories/7/resources/21959
9	7	YIVO Institute for Jewish Research	22040	Nodar Djindjikhashvili Collection	Djindjikhashvili, Nodar, 1939-	1978 -- 1979	1	0	0	0	0	2	0	0		rus	https://archives.cjh.org/repositories/7/resources/22040
9	7	YIVO Institute for Jewish Research	22118	Rachel (Shoshke) Erlich Papers	Erlich, Rachel, 1909-1991	1934 -- 1984	1	0	0	0	0	2	0	0		yid | ger	https://archives.cjh.org/repositories/7/resources/22118
9	7	YIVO Institute for Jewish Research	22123	Nathan Reich Papers	Reich, Nathan, 1900-1992	1958 -- 1969	1	0	0	0	0	2	0	0		eng	https://archives.cjh.org/repositories/7/resources/22123
