item_id	omeka_id	error
IL-MTFN-001-G-F-0022-003-R0003	7858	
IL-MTFN-001-G-F-0022-003-R0004	7859	
IL-MTFN-001-G-F-0022-003-R0005	7860	
IL-MTFN-001-G-F-0022-003-R0006	7861	
IL-MTFN-001-G-F-0022-003-R0008	7862	
IL-MTFN-001-G-F-0022-004-R0001	7863	
IL-MTFN-001-G-F-0022-004-R0002	7864	
IL-MTFN-001-G-F-0022-004-R0004	7865	
IL-MTFN-001-G-F-0022-004-R0005	7866	
IL-MTFN-001-G-F-0022-005-R0001	7867	
IL-MTFN-001-G-F-0022-005-R0002	7868	
IL-MTFN-001-G-F-0022-005-R0003	7869	
IL-MTFN-001-G-F-0022-005-R0006	7870	
IL-MTFN-001-G-F-0022-005-R0007	7871	
IL-MTFN-001-G-F-0022-005-R0008	7872	
IL-MTFN-001-G-F-0022-005-R0009	7873	
IL-MTFN-001-G-F-0022-005-R0010	7874	
IL-MTFN-001-G-F-0022-005-R0011	7875	
IL-MTFN-001-G-F-0022-005-R0012	7876	
IL-MTFN-001-G-F-0022-005-R0013	7877	
IL-MTFN-001-G-F-0022-005-R0014	7878	
IL-MTFN-001-G-F-0022-005-R0015	7879	
IL-MTFN-001-G-F-0022-005-R0016	7880	
IL-MTFN-001-G-F-0022-005-R0017	7881	
IL-MTFN-001-G-F-0022-005-R0018	7882	
IL-MTFN-001-G-F-0022-005-R0019	7883	
IL-MTFN-001-G-F-0022-005-R0020	7884	
IL-MTFN-001-G-F-0022-005-R0021	7885	
IL-MTFN-001-G-F-0022-006-R0001	7886	
IL-MTFN-001-G-F-0022-006-R0003	7887	
IL-MTFN-001-G-F-0022-006-R0004	7888	
IL-MTFN-001-G-F-0022-008-R0001	7889	
IL-MTFN-001-G-F-0022-008-R0002	7890	
IL-MTFN-001-G-F-0022-008-R0003	7891	
IL-MTFN-001-G-F-0022-008-R0004	7892	
IL-MTFN-001-G-F-0022-008-R0005	7893	
IL-MTFN-001-G-F-0022-008-R0006	7894	
IL-MTFN-001-G-F-0022-008-R0007	7895	
